$Trinity Lake Br2 inflow year 2018 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,1.614045023
1.042,1.614045023
1.083,1.614045023
1.125,1.614045023
1.167,1.614045023
1.208,1.614045023
1.25,1.614045023
1.292,1.614045023
1.333,1.614045023
1.375,1.614045023
1.417,1.614045023
1.458,1.614045023
1.5,1.614045023
1.542,1.614045023
1.583,1.614045023
1.625,1.614045023
1.667,1.614045023
1.708,1.614045023
1.75,1.614045023
1.792,1.614045023
1.833,1.614045023
1.875,1.614045023
1.917,1.614045023
1.958,1.614045023
2,2.888291094
2.042,2.888291094
2.083,2.888291094
2.125,2.888291094
2.167,2.888291094
2.208,2.888291094
2.25,2.888291094
2.292,2.888291094
2.333,2.888291094
2.375,2.888291094
2.417,2.888291094
2.458,2.888291094
2.5,2.888291094
2.542,2.888291094
2.583,2.888291094
2.625,2.888291094
2.667,2.888291094
2.708,2.888291094
2.75,2.888291094
2.792,2.888291094
2.833,2.888291094
2.875,2.888291094
2.917,2.888291094
2.958,2.888291094
3,3.256406626
3.042,3.256406626
3.083,3.256406626
3.125,3.256406626
3.167,3.256406626
3.208,3.256406626
3.25,3.256406626
3.292,3.256406626
3.333,3.256406626
3.375,3.256406626
3.417,3.256406626
3.458,3.256406626
3.5,3.256406626
3.542,3.256406626
3.583,3.256406626
3.625,3.256406626
3.667,3.256406626
3.708,3.256406626
3.75,3.256406626
3.792,3.256406626
3.833,3.256406626
3.875,3.256406626
3.917,3.256406626
3.958,3.256406626
4,4.445702959
4.042,4.445702959
4.083,4.445702959
4.125,4.445702959
4.167,4.445702959
4.208,4.445702959
4.25,4.445702959
4.292,4.445702959
4.333,4.445702959
4.375,4.445702959
4.417,4.445702959
4.458,4.445702959
4.5,4.445702959
4.542,4.445702959
4.583,4.445702959
4.625,4.445702959
4.667,4.445702959
4.708,4.445702959
4.75,4.445702959
4.792,4.445702959
4.833,4.445702959
4.875,4.445702959
4.917,4.445702959
4.958,4.445702959
5,16.19708339
5.042,16.19708339
5.083,16.19708339
5.125,16.19708339
5.167,16.19708339
5.208,16.19708339
5.25,16.19708339
5.292,16.19708339
5.333,16.19708339
5.375,16.19708339
5.417,16.19708339
5.458,16.19708339
5.5,16.19708339
5.542,16.19708339
5.583,16.19708339
5.625,16.19708339
5.667,16.19708339
5.708,16.19708339
5.75,16.19708339
5.792,16.19708339
5.833,16.19708339
5.875,16.19708339
5.917,16.19708339
5.958,16.19708339
6,9.825853037
6.042,9.825853037
6.083,9.825853037
6.125,9.825853037
6.167,9.825853037
6.208,9.825853037
6.25,9.825853037
6.292,9.825853037
6.333,9.825853037
6.375,9.825853037
