$Trinity Lake Br2 inflow year 2017 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,9.174571712
1.042,9.174571712
1.083,9.174571712
1.125,9.174571712
1.167,9.174571712
1.208,9.174571712
1.25,9.174571712
1.292,9.174571712
1.333,9.174571712
1.375,9.174571712
1.417,9.174571712
1.458,9.174571712
1.5,9.174571712
1.542,9.174571712
1.583,9.174571712
1.625,9.174571712
1.667,9.174571712
1.708,9.174571712
1.75,9.174571712
1.792,9.174571712
1.833,9.174571712
1.875,9.174571712
1.917,9.174571712
1.958,9.174571712
2,12.54424466
2.042,12.54424466
2.083,12.54424466
2.125,12.54424466
2.167,12.54424466
2.208,12.54424466
2.25,12.54424466
2.292,12.54424466
2.333,12.54424466
2.375,12.54424466
2.417,12.54424466
2.458,12.54424466
2.5,12.54424466
2.542,12.54424466
2.583,12.54424466
2.625,12.54424466
2.667,12.54424466
2.708,12.54424466
2.75,12.54424466
2.792,12.54424466
2.833,12.54424466
2.875,12.54424466
2.917,12.54424466
2.958,12.54424466
3,19.56675634
3.042,19.56675634
3.083,19.56675634
3.125,19.56675634
3.167,19.56675634
3.208,19.56675634
3.25,19.56675634
3.292,19.56675634
3.333,19.56675634
3.375,19.56675634
3.417,19.56675634
3.458,19.56675634
3.5,19.56675634
3.542,19.56675634
3.583,19.56675634
3.625,19.56675634
3.667,19.56675634
3.708,19.56675634
3.75,19.56675634
3.792,19.56675634
3.833,19.56675634
3.875,19.56675634
3.917,19.56675634
3.958,19.56675634
4,11.92127991
4.042,11.92127991
4.083,11.92127991
4.125,11.92127991
4.167,11.92127991
4.208,11.92127991
4.25,11.92127991
4.292,11.92127991
4.333,11.92127991
4.375,11.92127991
4.417,11.92127991
4.458,11.92127991
4.5,11.92127991
4.542,11.92127991
4.583,11.92127991
4.625,11.92127991
4.667,11.92127991
4.708,11.92127991
4.75,11.92127991
4.792,11.92127991
4.833,11.92127991
4.875,11.92127991
4.917,11.92127991
4.958,11.92127991
5,9.769219878
5.042,9.769219878
5.083,9.769219878
5.125,9.769219878
5.167,9.769219878
5.208,9.769219878
5.25,9.769219878
5.292,9.769219878
5.333,9.769219878
5.375,9.769219878
5.417,9.769219878
5.458,9.769219878
5.5,9.769219878
5.542,9.769219878
5.583,9.769219878
5.625,9.769219878
5.667,9.769219878
5.708,9.769219878
5.75,9.769219878
5.792,9.769219878
5.833,9.769219878
5.875,9.769219878
5.917,9.769219878
5.958,9.769219878
6,11.43989806
6.042,11.43989806
6.083,11.43989806
6.125,11.43989806
6.167,11.43989806
6.208,11.43989806
6.25,11.43989806
6.292,11.43989806
6.333,11.43989806
6.375,11.43989806
